date,lift_id,lift_name,sets,reps,weight,notes,flag,source
2025-11-24,lateral_raise,Lateral Raise,3,15,12.0,"good, go x16 or 10 x20",,2025-11
2025-11-24,overhead_triceps_extension,Overhead Triceps Extension,1,15,0.0,"x12 27.5, 32.5, x8 37.5, go 32.5",,2025-11
2025-11-24,pallof_press,Pallof Press,3,10,0.0,,,2025-11
2025-11-24,row,Row,3,12,135.0,,,2025-11
2025-11-26,back_squat,Back Squat,3,5,205.0,,,2025-11
2025-11-26,bulgarian_split_squat,Bulgarian Split Squat,3,8,25.0,go 10,,2025-11
2025-11-26,hanging_leg_raise,Hanging Leg Raise,3,8,0.0,up reps,,2025-11
2025-11-26,rdl,Romanian Deadlift,3,8,165.0,go 175. hinge,,2025-11
2025-11-28,db_flat_bench,DB Flat Bench,3,10,55.0,try 60 x8,,2025-11
2025-11-28,dips,Dips,1,1,0.0,3  5 7 9 11 ok,,2025-11
2025-11-28,face_pull,Face Pull,3,15,35.0,,,2025-11
2025-11-28,incline_db_curl,Incline DB Curl,3,12,30.0,standing,,2025-11
2025-11-28,lat_pulldown,Lat Pulldown,3,10,135.0,"good, go 140",,2025-11
2025-11-28,straight_arm_pulldown,Straight Arm Pulldown,3,15,42.5,,,2025-11
2025-11-28,triceps_pushdown,Triceps Pushdown,3,12,40.0,,,2025-11
2025-11-29,cable_rotation,Cable Rotation,3,12,22.5,"hips stay square, cable shoulder to shoulder",,2025-11
2025-11-29,calf_raise,Calf Raise,3,15,70.0,"stay, work on control",,2025-11
2025-11-29,hip_abduction,Hip Abduction,1,15,0.0,x 85 v hard,,2025-11
2025-11-29,hip_adduction,Hip Adduction,3,15,70.0,,,2025-11
2025-11-29,hip_thrust,Hip Thrust,3,10,195.0,"ok, up or stay",,2025-11
2025-11-29,seated_hamstring_curl,Seated Hamstring Curl,3,12,95.0,go 100,,2025-11
2025-11-29,trap_bar_deadlift,Trap Bar Deadlift,3,5,235.0,"fine, go 235",,2025-11
2025-12-02,barbell_bench_press,Barbell Bench Press,3,5,145.0,,,2025-11
2025-12-02,db_incline_press,Dumbbell Incline Press,3,10,48.5,"fine, 12 on last set. go 50",,2025-11
2025-12-02,hammer_curl,Hammer Curl,3,10,31.0,,,2025-11
2025-12-02,lateral_raise,Lateral Raise,3,16,11.0,,,2025-11
2025-12-02,overhead_triceps_extension,Overhead Triceps Extension,3,13,32.0,v hard. need this!,,2025-11
2025-12-02,pallof_press,Pallof Press,3,12,22.0,,,2025-11
2025-12-02,rear_delt_fly,Rear Delt Fly,2,15,11.0,,,2025-11
2025-12-04,back_squat,Back Squat,3,5,188.0,,,2025-11
2025-12-04,bulgarian_split_squat,Bulgarian Split Squat,3,16,14.0,,,2025-11
2025-12-04,rdl,Romanian Deadlift,3,8,97.0,22kg dbs,,2025-11
2025-12-05,db_flat_bench,DB Flat Bench,3,12,53.0,,,2025-11
2025-12-05,face_pull,Face Pull,3,15,33.0,good,,2025-11
2025-12-05,incline_db_curl,Incline DB Curl,3,12,28.0,,,2025-11
2025-12-05,straight_arm_pulldown,Straight Arm Pulldown,3,12,44.0,ok,,2025-11
2025-12-05,triceps_pushdown,Triceps Pushdown,3,12,38.0,,,2025-11
2025-12-05,weighted_pull_ups,Weighted Pull-Ups,3,6,0.0,bar,,2025-11
2025-12-10,cable_rotation,Cable Rotation,3,12,22.5,"hips stay square, cable shoulder to shoulder try up. think about hips moving counter",,2025-11
2025-12-10,seated_hamstring_curl,Seated Hamstring Curl,3,12,100.0,. good. control all the way thru both directions,,2025-11
2025-12-10,trap_bar_deadlift,Trap Bar Deadlift,3,5,255.0,. find go up,,2025-11
2025-12-11,barbell_bench_press,Barbell Bench Press,3,6,160.0,maybe with spotter,,2025-11
2025-12-11,db_incline_press,Dumbbell Incline Press,3,10,50.0,go x11,,2025-11
2025-12-11,hammer_curl,Hammer Curl,3,12,30.0,so hard,,2025-11
2025-12-11,lateral_raise,Lateral Raise,3,20,10.0,good,,2025-11
2025-12-11,overhead_triceps_extension,Overhead Triceps Extension,3,15,27.5,"easy, up weight",,2025-11
2025-12-11,row,Row,3,12,135.0,"fine, go 140",,2025-11
2025-12-13,back_squat,Back Squat,1,3,245.0,3rm 245,,2025-11
2025-12-14,db_flat_bench,DB Flat Bench,3,8,60.0,,,2025-11
2025-12-14,dips,Dips,3,10,0.0,go 12,,2025-11
2025-12-14,face_pull,Face Pull,3,15,35.0,go up,,2025-11
2025-12-14,incline_db_curl,Incline DB Curl,3,12,30.0,,,2025-11
2025-12-14,lat_pulldown,Lat Pulldown,3,10,150.0,"good, try 155",,2025-11
2025-12-14,straight_arm_pulldown,Straight Arm Pulldown,3,15,45.0,"fine, try 47.5",,2025-11
2025-12-14,triceps_pushdown,Triceps Pushdown,3,12,40.0,,,2025-11
2025-12-16,cable_rotation,Cable Rotation,3,12,27.5,"hard, try 25",,2025-11
2025-12-16,hip_abduction,Hip Abduction,1,15,0.0,x 85 v hard,,2025-11
2025-12-16,hip_adduction,Hip Adduction,3,15,70.0,,,2025-11
2025-12-16,hip_thrust,Hip Thrust,3,10,205.0,go 215,,2025-11
2025-12-16,trap_bar_deadlift,Trap Bar Deadlift,3,5,275.0,". fine, go 285",,2025-11
2025-12-17,barbell_bench_press,Barbell Bench Press,1,5,210.0,"test: 185 5rm, 210 1rm",,2025-11
2025-12-17,hammer_curl,Hammer Curl,2,12,30.0,,,2025-11
2025-12-17,overhead_triceps_extension,Overhead Triceps Extension,3,12,32.5,good. go x14,,2025-11
2025-12-17,rear_delt_fly,Rear Delt Fly,2,20,10.0,single side. harr,,2025-11
2025-12-17,row,Row,3,10,150.0,go 155,,2025-11
2025-12-18,back_squat,Back Squat,3,5,205.0,"205. go 210. lock core and hips, keep heals down.",,2025-11
2025-12-18,bulgarian_split_squat,Bulgarian Split Squat,3,8,30.0,go 9,weight_jump_up:14→30,2025-11
2025-12-18,calf_raise,Calf Raise,3,15,70.0,,,2025-11
2025-12-18,hanging_leg_raise,Hanging Leg Raise,2,12,0.0,,,2025-11
2025-12-18,rdl,Romanian Deadlift,3,8,175.0,. try 185,,2025-11
2025-12-19,db_flat_bench,DB Flat Bench,3,10,60.0,go x11 or 12,,2025-11
2025-12-19,dips,Dips,3,12,0.0,bit spicy clavicle,,2025-11
2025-12-19,face_pull,Face Pull,3,15,40.0,stay. scap down throughout,,2025-11
2025-12-19,incline_db_curl,Incline DB Curl,3,12,25.0,go x15,,2025-11
2025-12-19,straight_arm_pulldown,Straight Arm Pulldown,3,12,50.0,try 15,,2025-11
2025-12-19,triceps_pushdown,Triceps Pushdown,3,12,40.0,"stay, lock elbows",,2025-11
2025-12-19,weighted_pull_ups,Weighted Pull-Ups,1,1,0.0,"7, 7, 6",,2025-11
2025-12-23,cable_rotation,Cable Rotation,2,10,30.0,hard,,2025-11
2025-12-23,calf_raise,Calf Raise,3,15,70.0,"stay, work on control",,2025-11
2025-12-23,glute_kickback,Glute Kickback,3,12,90.0,. go 100,,2025-11
2025-12-23,hip_abduction,Hip Abduction,1,15,0.0,x 85 v hard,,2025-11
2025-12-23,hip_adduction,Hip Adduction,3,15,70.0,85 last set fine,,2025-11
2025-12-23,seated_hamstring_curl,Seated Hamstring Curl,3,12,100.0,. good. control all the way thru both directions go 105,,2025-11
2025-12-23,trap_bar_deadlift,Trap Bar Deadlift,3,5,245.0,going easy,,2025-11
2025-12-26,barbell_bench_press,Barbell Bench Press,3,5,175.0,"good, try x6 with guards",,2025-11
2025-12-26,db_incline_press,Dumbbell Incline Press,3,10,55.0,stay,,2025-11
2025-12-26,hammer_curl,Hammer Curl,2,12,30.0,so hard,,2025-11
2025-12-26,lateral_raise,Lateral Raise,3,15,12.0,stay,,2025-11
2025-12-26,overhead_triceps_extension,Overhead Triceps Extension,3,12,32.5,good. go x14 go up,,2025-11
2025-12-26,pallof_press,Pallof Press,2,12,25.0,,,2025-11
2025-12-26,rear_delt_fly,Rear Delt Fly,3,10,15.0,go back,,2025-11
